time,Vvout_highq
1.000488060664404e-003,-7.235449e-001
1.000494575704063e-003,-7.234743e-001
1.000500160872510e-003,-7.237834e-001
1.000505965769048e-003,-7.243568e-001
1.000511669570106e-003,-7.250074e-001
1.000516984439778e-003,-7.255519e-001
1.000523934309388e-003,-7.259971e-001
1.000531105839980e-003,-7.260192e-001
1.000537499019214e-003,-7.255628e-001
1.000542760059919e-003,-7.247827e-001
1.000548123512653e-003,-7.236080e-001
1.000553486283051e-003,-7.220774e-001
1.000561301206482e-003,-7.194108e-001
1.000567204285047e-003,-7.171668e-001
1.000572347789235e-003,-7.151007e-001
1.000577573530777e-003,-7.129984e-001
1.000583596617280e-003,-7.106776e-001
1.000590452150417e-003,-7.082760e-001
1.000598005395851e-003,-7.059819e-001
1.000603443294916e-003,-7.046171e-001
1.000608988761063e-003,-7.035111e-001
1.000614495916684e-003,-7.026659e-001
1.000621290844434e-003,-7.019004e-001
1.000628793377293e-003,-7.012743e-001
1.000634222541779e-003,-7.009056e-001
1.000639746573264e-003,-7.005369e-001
1.000645294300637e-003,-7.000861e-001
1.000653299259090e-003,-6.992176e-001
1.000660491420827e-003,-6.981816e-001
1.000665762024579e-003,-6.972128e-001
1.000670904989706e-003,-6.960785e-001
1.000676098771612e-003,-6.947618e-001
1.000682525000385e-003,-6.929421e-001
1.000689391900890e-003,-6.908431e-001
1.000694700676688e-003,-6.891472e-001
1.000699986921360e-003,-6.874380e-001
1.000705621408124e-003,-6.856523e-001
1.000712619817274e-003,-6.835454e-001
1.000719718432917e-003,-6.815697e-001
1.000725066487393e-003,-6.802251e-001
1.000730205297520e-003,-6.790721e-001
1.000735399824738e-003,-6.780425e-001
1.000742211256307e-003,-6.768668e-001
1.000750299013904e-003,-6.756397e-001
1.000755999260390e-003,-6.748554e-001
1.000761683959310e-003,-6.741059e-001
1.000768001257110e-003,-6.732546e-001
1.000774461300534e-003,-6.723092e-001
1.000783254355385e-003,-6.708655e-001
1.000789779974144e-003,-6.696566e-001
1.000794970912823e-003,-6.685828e-001
1.000800250735817e-003,-6.673946e-001
1.000805492474668e-003,-6.661298e-001
1.000813146578915e-003,-6.641795e-001
1.000820657702527e-003,-6.622025e-001
1.000827549994595e-003,-6.603738e-001
1.000834604205685e-003,-6.585388e-001
1.000841956319185e-003,-6.567010e-001
1.000847456262100e-003,-6.553978e-001
1.000852555965063e-003,-6.542604e-001
1.000857765046387e-003,-6.531701e-001
1.000864028835424e-003,-6.519468e-001
1.000871886004221e-003,-6.505122e-001
1.000879257242229e-003,-6.492367e-001
1.000886584991391e-003,-6.480027e-001
1.000894479537590e-003,-6.466619e-001
1.000902347611736e-003,-6.452683e-001
1.000911330993161e-003,-6.435796e-001
1.000917659282951e-003,-6.423143e-001
1.000922828924191e-003,-6.412212e-001
1.000928520008633e-003,-6.399648e-001
1.000934248268628e-003,-6.386548e-001
1.000941968420787e-003,-6.368432e-001
